"id";"descripcion";"provincia"
"1";"25 DE MAYO";"1"
"2";"3 DE FEBRERO";"1"
"3";"A. ALSINA";"1"
"4";"A. GONZÁLES CHÁVES";"1"
"5";"AGUAS VERDES";"1"
"6";"ALBERTI";"1"
"7";"ARRECIFES";"1"
"8";"AYACUCHO";"1"
"9";"AZUL";"1"
"10";"BAHÍA BLANCA";"1"
"11";"BALCARCE";"1"
"12";"BARADERO";"1"
"13";"BENITO JUÁREZ";"1"
"14";"BERISSO";"1"
"15";"BOLÍVAR";"1"
"16";"BRAGADO";"1"
"17";"BRANDSEN";"1"
"18";"CAMPANA";"1"
"19";"CAÑUELAS";"1"
"20";"CAPILLA DEL SEÑOR";"1"
"21";"CAPITÁN SARMIENTO";"1"
"22";"CARAPACHAY";"1"
"23";"CARHUE";"1"
"24";"CARILÓ";"1"
"25";"CARLOS CASARES";"1"
"26";"CARLOS TEJEDOR";"1"
"27";"CARMEN DE ARECO";"1"
"28";"CARMEN DE PATAGONES";"1"
"29";"CASTELLI";"1"
"30";"CHACABUCO";"1"
"31";"CHASCOMÚS";"1"
"32";"CHIVILCOY";"1"
"33";"COLÓN";"1"
"34";"CORONEL DORREGO";"1"
"35";"CORONEL PRINGLES";"1"
"36";"CORONEL ROSALES";"1"
"37";"CORONEL SUAREZ";"1"
"38";"COSTA AZUL";"1"
"39";"COSTA CHICA";"1"
"40";"COSTA DEL ESTE";"1"
"41";"COSTA ESMERALDA";"1"
"42";"DAIREAUX";"1"
"43";"DARREGUEIRA";"1"
"44";"DEL VISO";"1"
"45";"DOLORES";"1"
"46";"DON TORCUATO";"1"
"47";"ENSENADA";"1"
"48";"ESCOBAR";"1"
"49";"EXALTACIÓN DE LA CRUZ";"1"
"50";"FLORENTINO AMEGHINO";"1"
"51";"GARÍN";"1"
"52";"GRAL. ALVARADO";"1"
"53";"GRAL. ALVEAR";"1"
"54";"GRAL. ARENALES";"1"
"55";"GRAL. BELGRANO";"1"
"56";"GRAL. GUIDO";"1"
"57";"GRAL. LAMADRID";"1"
"58";"GRAL. LAS HERAS";"1"
"59";"GRAL. LAVALLE";"1"
"60";"GRAL. MADARIAGA";"1"
"61";"GRAL. PACHECO";"1"
"62";"GRAL. PAZ";"1"
"63";"GRAL. PINTO";"1"
"64";"GRAL. PUEYRREDÓN";"1"
"65";"GRAL. RODRÍGUEZ";"1"
"66";"GRAL. VIAMONTE";"1"
"67";"GRAL. VILLEGAS";"1"
"68";"GUAMINÍ";"1"
"69";"GUERNICA";"1"
"70";"HIPÓLITO YRIGOYEN";"1"
"71";"ING. MASCHWITZ";"1"
"72";"JUNÍN";"1"
"73";"LA PLATA";"1"
"74";"LAPRIDA";"1"
"75";"LAS FLORES";"1"
"76";"LAS TONINAS";"1"
"77";"LEANDRO N. ALEM";"1"
"78";"LINCOLN";"1"
"79";"LOBERIA";"1"
"80";"LOBOS";"1"
"81";"LOS CARDALES";"1"
"82";"LOS TOLDOS";"1"
"83";"LUCILA DEL MAR";"1"
"84";"LUJÁN";"1"
"85";"MAGDALENA";"1"
"86";"MAIPÚ";"1"
"87";"MAR CHIQUITA";"1"
"88";"MAR DE AJÓ";"1"
"89";"MAR DE LAS PAMPAS";"1"
"90";"MAR DEL PLATA";"1"
"91";"MAR DEL TUYÚ";"1"
"92";"MARCOS PAZ";"1"
"93";"MERCEDES";"1"
"94";"MIRAMAR";"1"
"95";"MONTE";"1"
"96";"MONTE HERMOSO";"1"
"97";"MUNRO";"1"
"98";"NAVARRO";"1"
"99";"NECOCHEA";"1"
"100";"OLAVARRÍA";"1"
"101";"PARTIDO DE LA COSTA";"1"
"102";"PEHUAJÓ";"1"
"103";"PELLEGRINI";"1"
"104";"PERGAMINO";"1"
"105";"PIGÜÉ";"1"
"106";"PILA";"1"
"107";"PILAR";"1"
"108";"PINAMAR";"1"
"109";"PINAR DEL SOL";"1"
"110";"POLVORINES";"1"
"111";"PTE. PERÓN";"1"
"112";"PUÁN";"1"
"113";"PUNTA INDIO";"1"
"114";"RAMALLO";"1"
"115";"RAUCH";"1"
"116";"RIVADAVIA";"1"
"117";"ROJAS";"1"
"118";"ROQUE PÉREZ";"1"
"119";"SAAVEDRA";"1"
"120";"SALADILLO";"1"
"121";"SALLIQUELÓ";"1"
"122";"SALTO";"1"
"123";"SAN ANDRÉS DE GILES";"1"
"124";"SAN ANTONIO DE ARECO";"1"
"125";"SAN ANTONIO DE PADUA";"1"
"126";"SAN BERNARDO";"1"
"127";"SAN CAYETANO";"1"
"128";"SAN CLEMENTE DEL TUYÚ";"1"
"129";"SAN NICOLÁS";"1"
"130";"SAN PEDRO";"1"
"131";"SAN VICENTE";"1"
"132";"SANTA TERESITA";"1"
"133";"SUIPACHA";"1"
"134";"TANDIL";"1"
"135";"TAPALQUÉ";"1"
"136";"TORDILLO";"1"
"137";"TORNQUIST";"1"
"138";"TRENQUE LAUQUEN";"1"
"139";"TRES LOMAS";"1"
"140";"VILLA GESELL";"1"
"141";"VILLARINO";"1"
"142";"ZÁRATE";"1"
"143";"11 DE SEPTIEMBRE";"1"
"144";"20 DE JUNIO";"1"
"145";"25 DE MAYO";"1"
"146";"ACASSUSO";"1"
"147";"ADROGUÉ";"1"
"148";"ALDO BONZI";"1"
"149";"ÁREA RESERVA CINTURÓN ECOLÓGICO";"1"
"150";"AVELLANEDA";"1"
"151";"BANFIELD";"1"
"152";"BARRIO PARQUE";"1"
"153";"BARRIO SANTA TERESITA";"1"
"154";"BECCAR";"1"
"155";"BELLA VISTA";"1"
"156";"BERAZATEGUI";"1"
"157";"BERNAL ESTE";"1"
"158";"BERNAL OESTE";"1"
"159";"BILLINGHURST";"1"
"160";"BOULOGNE";"1"
"161";"BURZACO";"1"
"162";"CARAPACHAY";"1"
"163";"CASEROS";"1"
"164";"CASTELAR";"1"
"165";"CHURRUCA";"1"
"166";"CIUDAD EVITA";"1"
"167";"CIUDAD MADERO";"1"
"168";"CIUDADELA";"1"
"169";"CLAYPOLE";"1"
"170";"CRUCECITA";"1"
"171";"DOCK SUD";"1"
"172";"DON BOSCO";"1"
"173";"DON ORIONE";"1"
"174";"EL JAGÜEL";"1"
"175";"EL LIBERTADOR";"1"
"176";"EL PALOMAR";"1"
"177";"EL TALAR";"1"
"178";"EL TRÉBOL";"1"
"179";"EZEIZA";"1"
"180";"EZPELETA";"1"
"181";"FLORENCIO VARELA";"1"
"182";"FLORIDA";"1"
"183";"FRANCISCO ÁLVAREZ";"1"
"184";"GERLI";"1"
"185";"GLEW";"1"
"186";"GONZÁLEZ CATÁN";"1"
"187";"GRAL. LAMADRID";"1"
"188";"GRAND BOURG";"1"
"189";"GREGORIO DE LAFERRERE";"1"
"190";"GUILLERMO ENRIQUE HUDSON";"1"
"191";"HAEDO";"1"
"192";"HURLINGHAM";"1"
"193";"ING. SOURDEAUX";"1"
"194";"ISIDRO CASANOVA";"1"
"195";"ITUZAINGÓ";"1"
"196";"JOSÉ C. PAZ";"1"
"197";"JOSÉ INGENIEROS";"1"
"198";"JOSÉ MARMOL";"1"
"199";"LA LUCILA";"1"
"200";"LA REJA";"1"
"201";"LA TABLADA";"1"
"202";"LANÚS";"1"
"203";"LLAVALLOL";"1"
"204";"LOMA HERMOSA";"1"
"205";"LOMAS DE ZAMORA";"1"
"206";"LOMAS DEL MILLÓN";"1"
"207";"LOMAS DEL MIRADOR";"1"
"208";"LONGCHAMPS";"1"
"209";"LOS POLVORINES";"1"
"210";"LUIS GUILLÓN";"1"
"211";"MALVINAS ARGENTINAS";"1"
"212";"MARTÍN CORONADO";"1"
"213";"MARTÍNEZ";"1"
"214";"MERLO";"1"
"215";"MINISTRO RIVADAVIA";"1"
"216";"MONTE CHINGOLO";"1"
"217";"MONTE GRANDE";"1"
"218";"MORENO";"1"
"219";"MORÓN";"1"
"220";"MUÑIZ";"1"
"221";"OLIVOS";"1"
"222";"PABLO NOGUÉS";"1"
"223";"PABLO PODESTÁ";"1"
"224";"PASO DEL REY";"1"
"225";"PEREYRA";"1"
"226";"PIÑEIRO";"1"
"227";"PLÁTANOS";"1"
"228";"PONTEVEDRA";"1"
"229";"QUILMES";"1"
"230";"RAFAEL CALZADA";"1"
"231";"RAFAEL CASTILLO";"1"
"232";"RAMOS MEJÍA";"1"
"233";"RANELAGH";"1"
"234";"REMEDIOS DE ESCALADA";"1"
"235";"SÁENZ PEÑA";"1"
"236";"SAN MIGUEL DEL MONTE";"1"
"237";"SAN FERNANDO";"1"
"238";"SAN FRANCISCO SOLANO";"1"
"239";"SAN ISIDRO";"1"
"240";"SAN JOSÉ";"1"
"241";"SAN JUSTO";"1"
"242";"SAN MARTÍN";"1"
"243";"SAN MIGUEL";"1"
"244";"SANTOS LUGARES";"1"
"245";"SARANDÍ";"1"
"246";"SOURIGUES";"1"
"247";"TAPIALES";"1"
"248";"TEMPERLEY";"1"
"249";"TIGRE";"1"
"250";"TORTUGUITAS";"1"
"251";"TRISTÁN SUÁREZ";"1"
"252";"TRUJUI";"1"
"253";"TURDERA";"1"
"254";"VALENTÍN ALSINA";"1"
"255";"VICENTE LÓPEZ";"1"
"256";"VILLA ADELINA";"1"
"257";"VILLA BALLESTER";"1"
"258";"VILLA BOSCH";"1"
"259";"VILLA CARAZA";"1"
"260";"VILLA CELINA";"1"
"261";"VILLA CENTENARIO";"1"
"262";"VILLA DE MAYO";"1"
"263";"VILLA DIAMANTE";"1"
"264";"VILLA DOMÍNICO";"1"
"265";"VILLA ESPAÑA";"1"
"266";"VILLA FIORITO";"1"
"267";"VILLA GUILLERMINA";"1"
"268";"VILLA INSUPERABLE";"1"
"269";"VILLA JOSÉ LEÓN SUÁREZ";"1"
"270";"VILLA LA FLORIDA";"1"
"271";"VILLA LUZURIAGA";"1"
"272";"VILLA MARTELLI";"1"
"273";"VILLA OBRERA";"1"
"274";"VILLA PROGRESO";"1"
"275";"VILLA RAFFO";"1"
"276";"VILLA SARMIENTO";"1"
"277";"VILLA TESEI";"1"
"278";"VILLA UDAONDO";"1"
"279";"VIRREY DEL PINO";"1"
"280";"WILDE";"1"
"281";"WILLIAM MORRIS";"1"
"282";"AGRONOMÍA";"0"
"283";"ALMAGRO";"0"
"284";"BALVANERA";"0"
"285";"BARRACAS";"0"
"286";"BELGRANO";"0"
"287";"BOCA";"0"
"288";"BOEDO";"0"
"289";"CABALLITO";"0"
"290";"CHACARITA";"0"
"291";"COGHLAN";"0"
"292";"COLEGIALES";"0"
"293";"CONSTITUCIÓN";"0"
"294";"FLORES";"0"
"295";"FLORESTA";"0"
"296";"LA PATERNAL";"0"
"297";"LINIERS";"0"
"298";"MATADEROS";"0"
"299";"MONSERRAT";"0"
"300";"MONTE CASTRO";"0"
"301";"NUEVA POMPEYA";"0"
"302";"NÚÑEZ";"0"
"303";"PALERMO";"0"
"304";"PARQUE AVELLANEDA";"0"
"305";"PARQUE CHACABUCO";"0"
"306";"PARQUE CHAS";"0"
"307";"PARQUE PATRICIOS";"0"
"308";"PUERTO MADERO";"0"
"309";"RECOLETA";"0"
"310";"RETIRO";"0"
"311";"SAAVEDRA";"0"
"312";"SAN CRISTÓBAL";"0"
"313";"SAN NICOLÁS";"0"
"314";"SAN TELMO";"0"
"315";"VÉLEZ SÁRSFIELD";"0"
"316";"VERSALLES";"0"
"317";"VILLA CRESPO";"0"
"318";"VILLA DEL PARQUE";"0"
"319";"VILLA DEVOTO";"0"
"320";"VILLA GRAL. MITRE";"0"
"321";"VILLA LUGANO";"0"
"322";"VILLA LURO";"0"
"323";"VILLA ORTÚZAR";"0"
"324";"VILLA PUEYRREDÓN";"0"
"325";"VILLA REAL";"0"
"326";"VILLA RIACHUELO";"0"
"327";"VILLA SANTA RITA";"0"
"328";"VILLA SOLDATI";"0"
"329";"VILLA URQUIZA";"0"
"330";"ACONQUIJA";"2"
"331";"ANCASTI";"2"
"332";"ANDALGALÁ";"2"
"333";"ANTOFAGASTA";"2"
"334";"BELÉN";"2"
"335";"CAPAYÁN";"2"
"336";"CAPITAL";"2"
"337";"4";"2"
"338";"CORRAL QUEMADO";"2"
"339";"EL ALTO";"2"
"340";"EL RODEO";"2"
"341";"F.MAMERTO ESQUIÚ";"2"
"342";"FIAMBALÁ";"2"
"343";"HUALFÍN";"2"
"344";"HUILLAPIMA";"2"
"345";"ICAÑO";"2"
"346";"LA PUERTA";"2"
"347";"LAS JUNTAS";"2"
"348";"LONDRES";"2"
"349";"LOS ALTOS";"2"
"350";"LOS VARELA";"2"
"351";"MUTQUÍN";"2"
"352";"PACLÍN";"2"
"353";"POMAN";"2"
"354";"POZO DE LA PIEDRA";"2"
"355";"PUERTA DE CORRAL";"2"
"356";"PUERTA SAN JOSÉ";"2"
"357";"RECREO";"2"
"358";"S.F.V DE 4";"2"
"359";"SAN FERNANDO";"2"
"360";"SAN FERNANDO DEL VALLE";"2"
"361";"SAN JOSÉ";"2"
"362";"SANTA MARÍA";"2"
"363";"SANTA ROSA";"2"
"364";"SAUJIL";"2"
"365";"TAPSO";"2"
"366";"TINOGASTA";"2"
"367";"VALLE VIEJO";"2"
"368";"VILLA VIL";"2"
"369";"AVIÁ TERAÍ";"16"
"370";"BARRANQUERAS";"16"
"371";"BASAIL";"16"
